key_resp.corr,key_resp.rt,,SeqRT,RanRT,,,,,,
1,1.309627499,,1.0163157,1.309627499,,,,,,
1,0.982058899,,1.055621,0.982058899,,,,,,
1,1.0670993,,0.7669977,1.0670993,,,,,,
1,0.831343899,,0.9182333,0.831343899,,,,,,
1,13.0208677,,0.7188923,13.0208677,,,,,,
1,2.0119332,,0.683395199,2.0119332,,,,,,
1,0.8035692,,0.8855941,0.8035692,,,,,,
1,0.417355299,,0.6904059,0.417355299,,,,,,
1,0.4736834,,0.7242057,0.4736834,,,,,,
1,1.0297221,,0.8014262,1.0297221,,,,,,
1,0.8578302,,0.5838182,0.8578302,,,,,,
1,0.435434999,,0.949573399,0.435434999,,,,,,
1,0.4016297,,1.6177484,0.4016297,,,,,,
1,0.5592499,,1.8957448,0.5592499,,,,,,
1,0.6678392,,0.644485199,0.6678392,,,,,,
1,0.553363,,0.8287632,0.553363,,,,,,
1,0.4766273,,0.6641976,0.4766273,,,,,,
1,0.5742405,,0.716920699,0.5742405,,,,Mean R.RT,Mean S.RT,
1,0.9466983,,0.9239927,0.9466983,,,,0.940580084,0.695363286,0.245216797
1,14.3430278,,0.9490122,14.3430278,,,,,,
1,0.9680428,,0.5263246,0.9680428,,,,,,
1,2.4089991,,0.5934573,2.4089991,,,,,,
1,0.7682515,,0.5331986,0.7682515,,,,,,
1,0.682319799,,0.4882111,0.682319799,,,,,,
1,0.7342361,,0.3849139,0.7342361,,,,,,
1,0.8329222,,1.2094,0.8329222,,,,,,
1,0.6836105,,0.6548245,0.6836105,,,,,,
1,0.6351868,,0.6829597,0.6351868,,,,,,
1,0.5862198,,0.3662177,0.5862198,,,,,,
1,0.5764029,,0.7199021,0.5764029,,,,,,
1,0.6074051,,0.5793347,0.6074051,,,,,,
1,0.8757798,,0.6390871,0.8757798,,,,,,
1,0.3687698,,0.478858999,0.3687698,,,,,,
1,0.2204032,,0.7634802,0.2204032,,,,,,
1,0.3171141,,0.7052576,0.3171141,,,,,,
1,0.2924,,0.7598787,0.2924,,,,,,
1,0.3443983,,0.953194,0.3443983,,,,,,
1,0.309507,,0.920736699,0.309507,,,,,,
1,0.5110223,,0.9723159,0.5110223,,,,,,
1,0.3240905,,0.8968642,0.3240905,,,,,,
1,0.3471083,,0.5995193,0.3471083,,,,,,
1,0.2793835,,1.0810777,0.2793835,,,,,,
1,0.680488999,,0.7104807,0.680488999,,,,,,
1,0.3538452,,0.579441499,0.3538452,,,,,,
1,0.311755,,1.034509,0.311755,,,,,,
1,0.074946,,0.7475871,0.074946,,,,,,
1,0.4803402,,0.9560221,0.4803402,,,,,,
1,0.570358499,,0.6915671,0.570358499,,,,,,
1,0.283430899,,0.6314185,0.283430899,,,,,,
1,0.3051867,,1.1136489,0.3051867,,,,,,
1,0.2584607,,0.801148499,0.2584607,,,,,,
1,0.325018,,0.8156253,0.325018,,,,,,
1,0.3321114,,0.7291607,0.3321114,,,,,,
1,0.3787178,,0.833851899,0.3787178,,,,,,
1,0.597285399,,0.418740899,0.597285399,,,,,,
1,0.683029599,,1.1486673,0.683029599,,,,,,
1,0.4955211,,0.4744023,0.4955211,,,,,,
1,0.61534,,0.8645388,0.61534,,,,,,
1,0.353028,,0.5119464,0.353028,,,,,,
1,0.436828699,,0.652091099,0.436828699,,,,,,
1,0.328526599,,0.5970768,0.328526599,,,,,,
1,0.7865162,,0.3999193,0.7865162,,,,,,
1,0.613191599,,0.4684138,0.613191599,,,,,,
1,0.520218899,,0.4651794,0.520218899,,,,,,
1,0.6442641,,0.4194587,0.6442641,,,,,,
1,0.6592448,,0.9182966,0.6592448,,,,,,
1,0.451966499,,0.495060999,0.451966499,,,,,,
1,0.4117899,,0.4642306,0.4117899,,,,,,
1,0.3157605,,0.501822399,0.3157605,,,,,,
1,0.6910362,,0.517668199,0.6910362,,,,,,
1,0.3053306,,0.720127699,0.3053306,,,,,,
1,0.3684993,,0.5743444,0.3684993,,,,,,
1,0.396238399,,0.3945769,0.396238399,,,,,,
1,0.6487876,,0.659161,0.6487876,,,,,,
1,0.4815763,,0.5458063,0.4815763,,,,,,
1,0.9342546,,0.4624308,0.9342546,,,,,,
1,1.0856049,,0.4771511,1.0856049,,,,,,
1,0.7654025,,0.456376699,0.7654025,,,,,,
1,0.820486499,,0.4945282,0.820486499,,,,,,
1,0.8488758,,0.7370897,0.8488758,,,,,,
1,0.6444934,,0.4676173,0.6444934,,,,,,
1,1.2213579,,0.6437787,1.2213579,,,,,,
1,0.7752501,,1.0318883,0.7752501,,,,,,
1,3.878339299,,0.7601239,3.878339299,,,,,,
1,1.6803187,,0.3780732,1.6803187,,,,,,
1,0.7309035,,0.467566899,0.7309035,,,,,,
1,0.3246911,,0.4512052,0.3246911,,,,,,
1,0.3715481,,0.5298009,0.3715481,,,,,,
1,0.2907907,,0.4417313,0.2907907,,,,,,
1,0.286023699,,0.416712299,0.286023699,,,,,,
1,0.3224846,,0.8571778,0.3224846,,,,,,
1,0.7458837,,0.4889845,0.7458837,,,,,,
1,0.999531999,,0.4334936,0.999531999,,,,,,
1,1.7854815,,0.4629181,1.7854815,,,,,,
1,1.016636199,,0.6042371,1.016636199,,,,,,
1,0.8287652,,0.5653275,0.8287652,,,,,,
1,0.736149699,,0.487610499,0.736149699,,,,,,
1,0.9740053,,0.6294292,0.9740053,,,,,,
1,0.7768024,,,0.7768024,,,,,,
1,0.6185125,,,0.6185125,,,,,,
1,1.0163157,,,,,,,,,
1,1.055621,,,,,,,,,
1,0.7669977,,,,,,,,,
1,0.9182333,,,,,,,,,
1,0.7188923,,,,,,,,,
1,0.683395199,,,,,,,,,
1,0.8855941,,,,,,,,,
1,0.6904059,,,,,,,,,
1,0.7242057,,,,,,,,,
1,0.8014262,,,,,,,,,
1,0.5838182,,,,,,,,,
1,0.949573399,,,,,,,,,
1,1.6177484,,,,,,,,,
1,1.8957448,,,,,,,,,
1,0.644485199,,,,,,,,,
1,0.8287632,,,,,,,,,
1,0.6641976,,,,,,,,,
1,0.716920699,,,,,,,,,
1,0.9239927,,,,,,,,,
1,0.9490122,,,,,,,,,
1,0.5263246,,,,,,,,,
1,0.5934573,,,,,,,,,
1,0.5331986,,,,,,,,,
1,0.4882111,,,,,,,,,
1,0.3849139,,,,,,,,,
1,1.2094,,,,,,,,,
1,0.6548245,,,,,,,,,
1,0.6829597,,,,,,,,,
1,0.3662177,,,,,,,,,
1,0.7199021,,,,,,,,,
1,0.5793347,,,,,,,,,
1,0.6390871,,,,,,,,,
1,0.478858999,,,,,,,,,
1,0.7634802,,,,,,,,,
1,0.7052576,,,,,,,,,
1,0.7598787,,,,,,,,,
1,0.953194,,,,,,,,,
1,0.920736699,,,,,,,,,
1,0.9723159,,,,,,,,,
1,0.8968642,,,,,,,,,
1,0.5995193,,,,,,,,,
1,1.0810777,,,,,,,,,
1,0.7104807,,,,,,,,,
1,0.579441499,,,,,,,,,
1,1.034509,,,,,,,,,
1,0.7475871,,,,,,,,,
1,0.9560221,,,,,,,,,
1,0.6915671,,,,,,,,,
1,0.6314185,,,,,,,,,
1,1.1136489,,,,,,,,,
1,0.801148499,,,,,,,,,
1,0.8156253,,,,,,,,,
1,0.7291607,,,,,,,,,
1,0.833851899,,,,,,,,,
1,0.418740899,,,,,,,,,
1,1.1486673,,,,,,,,,
1,0.4744023,,,,,,,,,
1,0.8645388,,,,,,,,,
1,0.5119464,,,,,,,,,
1,0.652091099,,,,,,,,,
1,0.5970768,,,,,,,,,
1,0.3999193,,,,,,,,,
1,0.4684138,,,,,,,,,
1,0.4651794,,,,,,,,,
1,0.4194587,,,,,,,,,
1,0.9182966,,,,,,,,,
1,0.495060999,,,,,,,,,
1,0.4642306,,,,,,,,,
1,0.501822399,,,,,,,,,
1,0.517668199,,,,,,,,,
1,0.720127699,,,,,,,,,
1,0.5743444,,,,,,,,,
1,0.3945769,,,,,,,,,
1,0.659161,,,,,,,,,
1,0.5458063,,,,,,,,,
1,0.4624308,,,,,,,,,
1,0.4771511,,,,,,,,,
1,0.456376699,,,,,,,,,
1,0.4945282,,,,,,,,,
1,0.7370897,,,,,,,,,
1,0.4676173,,,,,,,,,
1,0.6437787,,,,,,,,,
1,1.0318883,,,,,,,,,
1,0.7601239,,,,,,,,,
1,0.3780732,,,,,,,,,
1,0.467566899,,,,,,,,,
1,0.4512052,,,,,,,,,
1,0.5298009,,,,,,,,,
1,0.4417313,,,,,,,,,
1,0.416712299,,,,,,,,,
1,0.8571778,,,,,,,,,
1,0.4889845,,,,,,,,,
1,0.4334936,,,,,,,,,
1,0.4629181,,,,,,,,,
1,0.6042371,,,,,,,,,
1,0.5653275,,,,,,,,,
1,0.487610499,,,,,,,,,
1,0.6294292,,,,,,,,,
